Hostname,ManagementIp,HwSku,Type,Protocol,Os,AuthType
vlab-01,10.250.0.101/24,Force10-S6000,DevSonic,,sonic,
ARISTA01T1,10.64.1.1/24,Arista-VM,DevSonic,,eos,
ARISTA02T1,10.64.1.2/24,Arista-VM,DevSonic,,eos,
ARISTA03T1,10.64.1.3/24,Arista-VM,DevSonic,,eos,
ARISTA04T1,10.64.1.4/24,Arista-VM,DevSonic,,eos,
Servers0,10.64.0.1/24,TestServ,Server,,ubuntu,
Servers1,10.64.0.2/24,TestServ,Server,,ubuntu,
Servers10,10.64.0.3/24,TestServ,Server,,ubuntu,
Servers11,10.64.0.4/24,TestServ,Server,,ubuntu,
Servers12,10.64.0.5/24,TestServ,Server,,ubuntu,
Servers13,10.64.0.6/24,TestServ,Server,,ubuntu,
Servers14,10.64.0.7/24,TestServ,Server,,ubuntu,
Servers15,10.64.0.8/24,TestServ,Server,,ubuntu,
Servers16,10.64.0.9/24,TestServ,Server,,ubuntu,
Servers17,10.64.0.10/24,TestServ,Server,,ubuntu,
Servers18,10.64.0.11/24,TestServ,Server,,ubuntu,
Servers19,10.64.0.12/24,TestServ,Server,,ubuntu,
Servers2,10.64.0.13/24,TestServ,Server,,ubuntu,
Servers20,10.64.0.14/24,TestServ,Server,,ubuntu,
Servers21,10.64.0.15/24,TestServ,Server,,ubuntu,
Servers22,10.64.0.16/24,TestServ,Server,,ubuntu,
Servers23,10.64.0.17/24,TestServ,Server,,ubuntu,
Servers3,10.64.0.18/24,TestServ,Server,,ubuntu,
Servers4,10.64.0.19/24,TestServ,Server,,ubuntu,
Servers5,10.64.0.20/24,TestServ,Server,,ubuntu,
Servers6,10.64.0.21/24,TestServ,Server,,ubuntu,
Servers7,10.64.0.22/24,TestServ,Server,,ubuntu,
Servers8,10.64.0.23/24,TestServ,Server,,ubuntu,
Servers9,10.64.0.24/24,TestServ,Server,,ubuntu,
