StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
vlab-01,Ethernet4,Servers0,eth0,40000,,,
vlab-01,Ethernet8,Servers1,eth0,40000,,,
vlab-01,Ethernet12,Servers2,eth0,40000,,,
vlab-01,Ethernet16,Servers3,eth0,40000,,,
vlab-01,Ethernet20,Servers4,eth0,40000,,,
vlab-01,Ethernet24,Servers5,eth0,40000,,,
vlab-01,Ethernet28,Servers6,eth0,40000,,,
vlab-01,Ethernet32,Servers7,eth0,40000,,,
vlab-01,Ethernet36,Servers8,eth0,40000,,,
vlab-01,Ethernet40,Servers9,eth0,40000,,,
vlab-01,Ethernet44,Servers10,eth0,40000,,,
vlab-01,Ethernet48,Servers11,eth0,40000,,,
vlab-01,Ethernet52,Servers12,eth0,40000,,,
vlab-01,Ethernet56,Servers13,eth0,40000,,,
vlab-01,Ethernet60,Servers14,eth0,40000,,,
vlab-01,Ethernet64,Servers15,eth0,40000,,,
vlab-01,Ethernet68,Servers16,eth0,40000,,,
vlab-01,Ethernet72,Servers17,eth0,40000,,,
vlab-01,Ethernet76,Servers18,eth0,40000,,,
vlab-01,Ethernet80,Servers19,eth0,40000,,,
vlab-01,Ethernet84,Servers20,eth0,40000,,,
vlab-01,Ethernet88,Servers21,eth0,40000,,,
vlab-01,Ethernet92,Servers22,eth0,40000,,,
vlab-01,Ethernet96,Servers23,eth0,40000,,,
vlab-01,Ethernet112,ARISTA01T1,Ethernet1,40000,,,
vlab-01,Ethernet116,ARISTA02T1,Ethernet1,40000,,,
vlab-01,Ethernet120,ARISTA03T1,Ethernet1,40000,,,
vlab-01,Ethernet124,ARISTA04T1,Ethernet1,40000,,,
